Model,Trait,Component,AvgVar,TotalVar,Percentage,ModelID,Type,Description
M1,GY,ETA_E,1237.441767469,1489.27801030255,0.8309004490152991,1,Basico,E + G
M1,GY,ETA_G,189.00327291585,1489.27801030255,0.12690932895561494,1,Basico,E + G
M1,GY,Residual,62.8329699177,1489.27801030255,0.04219022202908599,1,Basico,E + G
M2,GY,ETA_E,1354.6893934510001,63189444.665312335,2.1438539310263206e-5,2,Basico,E + P
M2,GY,ETA_P,63187933.45814874,63189444.665312335,0.9999760845000047,2,Basico,E + P
M2,GY,Residual,156.51777013995,63189444.665312335,2.4769606849523393e-6,2,Basico,E + P
M3,GY,ETA_E,1236.36105401,2547.41999676995,0.4853385211616725,3,Basico,E + GGK
M3,GY,ETA_GGK,1252.000464478,2547.41999676995,0.49147783485467567,3,Basico,E + GGK
M3,GY,Residual,59.05847828195,2547.41999676995,0.023183643983651823,3,Basico,E + GGK
M4,GY,ETA_E,1371.577618123,1864.2919310096502,0.7357096789987128,4,Basico,E + PGK
M4,GY,ETA_PGK,204.76860674515,1864.2919310096502,0.10983720056882554,4,Basico,E + PGK
M4,GY,Residual,287.9457061415,1864.2919310096502,0.15445312043246168,4,Basico,E + PGK
M5,GY,ETA_E,1251.7986230145,19964.720242031548,0.0627005341341623,5,Basico,E + GAK
M5,GY,ETA_GAK,18652.8162446266,19964.720242031548,0.9342888865207833,5,Basico,E + GAK
M5,GY,Residual,60.10537439045,19964.720242031548,0.003010579345054417,5,Basico,E + GAK
M6,GY,ETA_E,1370.3022442835,18762.07299169525,0.07303575915572035,6,Basico,E + PAK
M6,GY,ETA_PAK,17222.69546291575,18762.07299169525,0.9179526948082506,6,Basico,E + PAK
M6,GY,Residual,169.075284496,18762.07299169525,0.0090115460360291,6,Basico,E + PAK
M7,GY,ETA_E,1033.6588423127,1288.3272689359,0.8023262933543706,7,Interacao_E,E + G + GE
M7,GY,ETA_G,174.16344833185,1288.3272689359,0.13518571913462726,7,Interacao_E,E + G + GE
M7,GY,ETA_GE,35.509392734,1288.3272689359,0.027562400944388263,7,Interacao_E,E + G + GE
M7,GY,Residual,44.99558555735,1288.3272689359,0.03492558656661386,7,Interacao_E,E + G + GE
M8,GY,ETA_E,1169.96625810325,47849689.81555786,2.4450863999599992e-5,8,Interacao_E,E + P + PE
M8,GY,ETA_P,47848098.09214798,47849689.81555786,0.9999667349273107,8,Interacao_E,E + P + PE
M8,GY,ETA_PE,229.0866540024,47849689.81555786,4.787630910157221e-6,8,Interacao_E,E + P + PE
M8,GY,Residual,192.6704977673,47849689.81555786,4.0265777795001514e-6,8,Interacao_E,E + P + PE
M9,GY,ETA_E,939.80452233725,2327.09584286895,0.4038529505422587,9,Interacao_E,E + GGK + GGKE
M9,GY,ETA_GGK,1230.340099641,2327.09584286895,0.528701945564984,9,Interacao_E,E + GGK + GGKE
M9,GY,ETA_GGKE,110.2364808573,2327.09584286895,0.04737083828975236,9,Interacao_E,E + GGK + GGKE
M9,GY,Residual,46.7147400334,2327.09584286895,0.02007426560300496,9,Interacao_E,E + GGK + GGKE
M10,GY,ETA_E,1129.5762079055,1656.7642880139501,0.6817965694200121,10,Interacao_E,E + PGK + PGKE
M10,GY,ETA_PGK,145.82782156625,1656.7642880139501,0.08801965531322589,10,Interacao_E,E + PGK + PGKE
M10,GY,ETA_PGKE,88.5149409512,1656.7642880139501,0.05342639359839624,10,Interacao_E,E + PGK + PGKE
M10,GY,Residual,292.845317591,1656.7642880139501,0.17675738166836574,10,Interacao_E,E + PGK + PGKE
M11,GY,ETA_E,854.7300410551,19704.90307698055,0.04337651587099677,11,Interacao_E,E + GAK + GAKE
