Component,MeanVar,Param,Model,REP,Trait
Residual,56.14607083910565,Aleatorio,2,1,GY
E,1240.9764438995992,Fixo,2,1,GY
P,135983917.79880288,Aleatorio,2,1,GY
PE,184.82189153786504,Aleatorio,2,1,GY
Residual,46.6602467316013,Aleatorio,7,1,GY
E,1099.9846504291054,Fixo,7,1,GY
G,168.15898762358654,Aleatorio,7,1,GY
P,22771.65365652817,Aleatorio,7,1,GY
GE,21.931282463362887,Aleatorio,7,1,GY
PE,102.9418690713116,Aleatorio,7,1,GY
Residual,56.022330051883955,Aleatorio,11,1,GY
E,1055.9517509903949,Fixo,11,1,GY
W,1.4512668180765005,Aleatorio,11,1,GY
P,136572553.38179606,Aleatorio,11,1,GY
PE,121.22118578018599,Aleatorio,11,1,GY
PW,447.82365042520405,Aleatorio,11,1,GY
Residual,44.81907372748461,Aleatorio,12,1,GY
E,1132.950113008153,Fixo,12,1,GY
W,0.9538057639332388,Aleatorio,12,1,GY
G,159.74485814363086,Aleatorio,12,1,GY
P,231.3593090339275,Aleatorio,12,1,GY
GE,15.374096851895315,Aleatorio,12,1,GY
PE,78.98428755929106,Aleatorio,12,1,GY
GW,46.56897533198584,Aleatorio,12,1,GY
PW,260.86860856371055,Aleatorio,12,1,GY
Residual,56.53529129995481,Aleatorio,2,2,GY
E,1326.4482445639917,Fixo,2,2,GY
P,135817389.83965656,Aleatorio,2,2,GY
PE,183.18228036537522,Aleatorio,2,2,GY
Residual,44.037264763883655,Aleatorio,7,2,GY
E,1137.044404994398,Fixo,7,2,GY
G,141.9302395961193,Aleatorio,7,2,GY
P,299039.48418238194,Aleatorio,7,2,GY
GE,21.39713525001528,Aleatorio,7,2,GY
PE,121.27146453766467,Aleatorio,7,2,GY
Residual,56.28579010529809,Aleatorio,11,2,GY
E,1378.0212408877478,Fixo,11,2,GY
W,1.3860913395778107,Aleatorio,11,2,GY
P,136419327.1596311,Aleatorio,11,2,GY
PE,107.11534151720511,Aleatorio,11,2,GY
PW,348.33723963883966,Aleatorio,11,2,GY
Residual,44.84130735437506,Aleatorio,12,2,GY
E,1061.2662045911202,Fixo,12,2,GY
W,0.9613835104253795,Aleatorio,12,2,GY
G,159.8231495601902,Aleatorio,12,2,GY
P,280.9781939138737,Aleatorio,12,2,GY
GE,15.239024863044511,Aleatorio,12,2,GY
PE,75.64386400743759,Aleatorio,12,2,GY
GW,46.12461082847294,Aleatorio,12,2,GY
PW,293.289699551531,Aleatorio,12,2,GY
Residual,56.25971160081961,Aleatorio,2,3,GY
E,1393.0364831422978,Fixo,2,3,GY
P,135810983.88971537,Aleatorio,2,3,GY
PE,172.51809740582416,Aleatorio,2,3,GY
Residual,47.04381949273068,Aleatorio,7,3,GY
E,1161.3475796788791,Fixo,7,3,GY
G,171.97482793160225,Aleatorio,7,3,GY
P,503.9710044558003,Aleatorio,7,3,GY
GE,22.38744020750524,Aleatorio,7,3,GY
PE,100.98717388971204,Aleatorio,7,3,GY
Residual,56.09554806181495,Aleatorio,11,3,GY
E,1062.153617496759,Fixo,11,3,GY
W,1.4647789667906836,Aleatorio,11,3,GY
P,136678331.69590604,Aleatorio,11,3,GY
PE,147.73447579828382,Aleatorio,11,3,GY
PW,445.3744863922991,Aleatorio,11,3,GY
Residual,44.97066808365606,Aleatorio,12,3,GY
E,1004.0114383598835,Fixo,12,3,GY
W,0.9057558312675161,Aleatorio,12,3,GY
G,158.70051322646898,Aleatorio,12,3,GY
P,185.32848080743503,Aleatorio,12,3,GY
GE,15.246862899735884,Aleatorio,12,3,GY
PE,75.69692694801117,Aleatorio,12,3,GY
GW,46.69413618594145,Aleatorio,12,3,GY
PW,244.74178113771745,Aleatorio,12,3,GY
Residual,57.05980054477314,Aleatorio,2,4,GY
E,1267.9943467945043,Fixo,2,4,GY
P,134241415.73867196,Aleatorio,2,4,GY
PE,173.66577666652898,Aleatorio,2,4,GY
Residual,46.88808164533335,Aleatorio,7,4,GY
E,1057.6710957974462,Fixo,7,4,GY
G,173.92605573840717,Aleatorio,7,4,GY
P,358.98398061403196,Aleatorio,7,4,GY
GE,22.453527149183913,Aleatorio,7,4,GY
PE,116.47273187549716,Aleatorio,7,4,GY
Residual,56.00668731719815,Aleatorio,11,4,GY
E,1145.7384101077837,Fixo,11,4,GY
W,1.4682812543159485,Aleatorio,11,4,GY
P,135877620.79843608,Aleatorio,11,4,GY
PE,119.65851909891948,Aleatorio,11,4,GY
PW,386.3489014165965,Aleatorio,11,4,GY
Residual,44.73545330758933,Aleatorio,12,4,GY
E,955.7146969281841,Fixo,12,4,GY
W,0.9146936763828797,Aleatorio,12,4,GY
G,160.35694204425627,Aleatorio,12,4,GY
P,147.41955632828785,Aleatorio,12,4,GY
GE,15.248537779201419,Aleatorio,12,4,GY
PE,89.63850669612924,Aleatorio,12,4,GY
GW,46.18449573264615,Aleatorio,12,4,GY
PW,269.2066552974702,Aleatorio,12,4,GY
Residual,56.15301724889519,Aleatorio,2,5,GY
E,1388.5220010688643,Fixo,2,5,GY
P,136593308.5467817,Aleatorio,2,5,GY
PE,195.47161136703312,Aleatorio,2,5,GY
Residual,46.58151438285496,Aleatorio,7,5,GY
E,1115.6634089136926,Fixo,7,5,GY
G,167.5806549226536,Aleatorio,7,5,GY
P,16501.960005709745,Aleatorio,7,5,GY
GE,22.33326884524657,Aleatorio,7,5,GY
PE,93.86426844865616,Aleatorio,7,5,GY
Residual,56.173597740875046,Aleatorio,11,5,GY
E,1123.8735250099744,Fixo,11,5,GY
W,1.421692239085077,Aleatorio,11,5,GY
P,135909035.85876274,Aleatorio,11,5,GY
PE,124.25701922286049,Aleatorio,11,5,GY
PW,418.62286824426025,Aleatorio,11,5,GY
Residual,44.440651692375525,Aleatorio,12,5,GY
E,1071.7419344922205,Fixo,12,5,GY
W,1.0733764750447614,Aleatorio,12,5,GY
G,161.44579068593112,Aleatorio,12,5,GY
P,227.2324302224921,Aleatorio,12,5,GY
GE,15.336325644672405,Aleatorio,12,5,GY
PE,78.21234915221126,Aleatorio,12,5,GY
GW,46.802987844490026,Aleatorio,12,5,GY
PW,277.190240998424,Aleatorio,12,5,GY
Residual,56.19792994026682,Aleatorio,2,6,GY
E,1215.7921611428678,Fixo,2,6,GY
P,136785504.33210057,Aleatorio,2,6,GY
PE,173.0901105066448,Aleatorio,2,6,GY
Residual,47.16339577865033,Aleatorio,7,6,GY
E,1208.1867742413237,Fixo,7,6,GY
G,173.6166607310398,Aleatorio,7,6,GY
P,441.00213719139253,Aleatorio,7,6,GY
GE,22.226756226272535,Aleatorio,7,6,GY
PE,107.78859980213228,Aleatorio,7,6,GY
Residual,56.144588554264395,Aleatorio,11,6,GY
E,1068.9769831555543,Fixo,11,6,GY
W,1.569768714072062,Aleatorio,11,6,GY
P,136072314.49174803,Aleatorio,11,6,GY
PE,118.83704613409074,Aleatorio,11,6,GY
PW,344.1345326198159,Aleatorio,11,6,GY
Residual,44.590274099629156,Aleatorio,12,6,GY
E,1149.7702122624084,Fixo,12,6,GY
W,1.0279832387946952,Aleatorio,12,6,GY
G,160.6938473465254,Aleatorio,12,6,GY
P,160.29835739416282,Aleatorio,12,6,GY
GE,15.36759514898468,Aleatorio,12,6,GY
PE,73.15925666021313,Aleatorio,12,6,GY
GW,45.92960949023324,Aleatorio,12,6,GY
PW,224.5332872403682,Aleatorio,12,6,GY
Residual,56.4852500949321,Aleatorio,2,7,GY
E,1358.7169173933619,Fixo,2,7,GY
P,136422611.79222444,Aleatorio,2,7,GY
PE,192.7437112755255,Aleatorio,2,7,GY
Residual,46.94529710307522,Aleatorio,7,7,GY
E,1275.3111524245599,Fixo,7,7,GY
G,173.464825381142,Aleatorio,7,7,GY
P,214.20327587652235,Aleatorio,7,7,GY
GE,22.219025684660505,Aleatorio,7,7,GY
PE,102.49897918986233,Aleatorio,7,7,GY
Residual,55.97328024422332,Aleatorio,11,7,GY
E,1180.9032845795982,Fixo,11,7,GY
W,1.5287748512387092,Aleatorio,11,7,GY
P,135862581.84999847,Aleatorio,11,7,GY
PE,126.64572394529064,Aleatorio,11,7,GY
PW,409.71702421956917,Aleatorio,11,7,GY
Residual,44.73956731975112,Aleatorio,12,7,GY
E,1060.980454403655,Fixo,12,7,GY
W,1.1106714030614522,Aleatorio,12,7,GY
G,158.8225762772289,Aleatorio,12,7,GY
P,381.5336910759093,Aleatorio,12,7,GY
GE,15.319550098418684,Aleatorio,12,7,GY
PE,72.99164017159889,Aleatorio,12,7,GY
GW,45.74959737430188,Aleatorio,12,7,GY
PW,261.37202316903665,Aleatorio,12,7,GY
Residual,56.137442830846204,Aleatorio,2,8,GY
E,1306.221914615469,Fixo,2,8,GY
P,136859552.75223222,Aleatorio,2,8,GY
PE,168.77323627532465,Aleatorio,2,8,GY
Residual,44.054360182586905,Aleatorio,7,8,GY
E,1301.2938889038257,Fixo,7,8,GY
G,139.34981643309447,Aleatorio,7,8,GY
P,263316.20403680106,Aleatorio,7,8,GY
GE,21.26775253993035,Aleatorio,7,8,GY
PE,100.11827935770359,Aleatorio,7,8,GY
Residual,56.09089926609939,Aleatorio,11,8,GY
E,1101.1532377170904,Fixo,11,8,GY
W,1.5116389486431123,Aleatorio,11,8,GY
P,135841161.55693465,Aleatorio,11,8,GY
PE,124.10542764518225,Aleatorio,11,8,GY
PW,489.4507370174697,Aleatorio,11,8,GY
Residual,44.750110435072536,Aleatorio,12,8,GY
E,1052.9948459893667,Fixo,12,8,GY
W,1.0475439936036013,Aleatorio,12,8,GY
G,159.1230423151162,Aleatorio,12,8,GY
P,148.5780470365674,Aleatorio,12,8,GY
GE,15.50277384829659,Aleatorio,12,8,GY
PE,74.06165711972228,Aleatorio,12,8,GY
GW,46.64830105625636,Aleatorio,12,8,GY
PW,254.5612483327614,Aleatorio,12,8,GY
Residual,56.18305383950504,Aleatorio,2,9,GY
E,1283.8288812830922,Fixo,2,9,GY
P,137130969.48724258,Aleatorio,2,9,GY
PE,166.84782045889312,Aleatorio,2,9,GY
Residual,44.89270351877338,Aleatorio,7,9,GY
E,1128.0694174493842,Fixo,7,9,GY
G,150.3259876374199,Aleatorio,7,9,GY
P,177087.5380361666,Aleatorio,7,9,GY
GE,21.562427583806937,Aleatorio,7,9,GY
PE,105.90247820474579,Aleatorio,7,9,GY
Residual,56.09869881843241,Aleatorio,11,9,GY
E,1198.4856567970814,Fixo,11,9,GY
W,1.4834761722737182,Aleatorio,11,9,GY
P,135850959.94265097,Aleatorio,11,9,GY
PE,151.77791743706146,Aleatorio,11,9,GY
PW,782.364742608482,Aleatorio,11,9,GY
Residual,44.711519558718784,Aleatorio,12,9,GY
E,1303.8110350831923,Fixo,12,9,GY
W,0.916182036386998,Aleatorio,12,9,GY
G,158.59995636769037,Aleatorio,12,9,GY
P,227.62902033434335,Aleatorio,12,9,GY
GE,15.197060489082004,Aleatorio,12,9,GY
PE,83.07847842312735,Aleatorio,12,9,GY
GW,46.62416650688327,Aleatorio,12,9,GY
PW,232.89503843410137,Aleatorio,12,9,GY
Residual,56.09823620721077,Aleatorio,2,10,GY
E,1285.0477856834664,Fixo,2,10,GY
P,136893340.79634076,Aleatorio,2,10,GY
PE,176.4100147161048,Aleatorio,2,10,GY
Residual,43.86156891045995,Aleatorio,7,10,GY
E,1636.2935485240448,Fixo,7,10,GY
G,136.6339239303987,Aleatorio,7,10,GY
P,348440.3455698422,Aleatorio,7,10,GY
GE,21.15773702488282,Aleatorio,7,10,GY
PE,121.15630330424692,Aleatorio,7,10,GY
Residual,56.11671126818677,Aleatorio,11,10,GY
E,1201.6445385810869,Fixo,11,10,GY
W,1.5000295270829076,Aleatorio,11,10,GY
P,136367096.6914645,Aleatorio,11,10,GY
PE,120.35248861247298,Aleatorio,11,10,GY
PW,440.7466497372638,Aleatorio,11,10,GY
Residual,44.85005213300156,Aleatorio,12,10,GY
E,986.6287214363517,Fixo,12,10,GY
W,0.9988837006422253,Aleatorio,12,10,GY
G,159.87076180227288,Aleatorio,12,10,GY
P,183.22010779682313,Aleatorio,12,10,GY
GE,15.154321774026293,Aleatorio,12,10,GY
PE,92.6322336260941,Aleatorio,12,10,GY
GW,46.19984979797908,Aleatorio,12,10,GY
PW,238.39848174890267,Aleatorio,12,10,GY
Residual,56.25446366066758,Aleatorio,2,11,GY
E,1421.2481924782878,Fixo,2,11,GY
P,136313040.48487863,Aleatorio,2,11,GY
PE,198.84074489903102,Aleatorio,2,11,GY
Residual,45.75289576931741,Aleatorio,7,11,GY
E,1103.8821998824467,Fixo,7,11,GY
G,158.19351196992145,Aleatorio,7,11,GY
P,179558.4018983125,Aleatorio,7,11,GY
GE,21.751273401177464,Aleatorio,7,11,GY
PE,110.78630862006123,Aleatorio,7,11,GY
Residual,55.98655686421006,Aleatorio,11,11,GY
E,1099.2125354921138,Fixo,11,11,GY
W,1.5070671477410102,Aleatorio,11,11,GY
P,135841746.79456577,Aleatorio,11,11,GY
PE,135.73251588593328,Aleatorio,11,11,GY
PW,622.334668218947,Aleatorio,11,11,GY
Residual,44.7425546118142,Aleatorio,12,11,GY
E,1020.9098590670231,Fixo,12,11,GY
W,0.9583805173557852,Aleatorio,12,11,GY
G,160.27557867499203,Aleatorio,12,11,GY
P,144.40520459503728,Aleatorio,12,11,GY
GE,15.471734957170945,Aleatorio,12,11,GY
PE,74.03596949893429,Aleatorio,12,11,GY
GW,46.185867214703364,Aleatorio,12,11,GY
PW,286.67702968370565,Aleatorio,12,11,GY
Residual,55.98451895230762,Aleatorio,2,12,GY
E,1288.3239117494172,Fixo,2,12,GY
P,136917145.78395218,Aleatorio,2,12,GY
PE,188.51711778113537,Aleatorio,2,12,GY
Residual,46.837815005006696,Aleatorio,7,12,GY
E,1594.8816533855563,Fixo,7,12,GY
G,172.57194693962333,Aleatorio,7,12,GY
P,573.36802585762,Aleatorio,7,12,GY
GE,22.419000123066844,Aleatorio,7,12,GY
PE,118.01891359556751,Aleatorio,7,12,GY
Residual,56.08593321797638,Aleatorio,11,12,GY
E,1417.6957292615286,Fixo,11,12,GY
W,1.6321103426959953,Aleatorio,11,12,GY
P,136196449.13551512,Aleatorio,11,12,GY
PE,129.3916600918615,Aleatorio,11,12,GY
PW,368.00027301539217,Aleatorio,11,12,GY
Residual,44.715831904877255,Aleatorio,12,12,GY
E,1076.3248271705845,Fixo,12,12,GY
W,1.0295236215874828,Aleatorio,12,12,GY
G,159.14889843691927,Aleatorio,12,12,GY
P,239.79199876359564,Aleatorio,12,12,GY
GE,15.407760250323268,Aleatorio,12,12,GY
PE,80.13469486631922,Aleatorio,12,12,GY
GW,46.52478942156631,Aleatorio,12,12,GY
PW,283.9957035244939,Aleatorio,12,12,GY
Residual,56.159900669731456,Aleatorio,2,13,GY
E,1275.239191706989,Fixo,2,13,GY
P,135732944.1518661,Aleatorio,2,13,GY
PE,166.64603149594308,Aleatorio,2,13,GY
Residual,45.8570469990976,Aleatorio,7,13,GY
E,1121.5960497991473,Fixo,7,13,GY
G,156.26964671630722,Aleatorio,7,13,GY
P,93553.82825513334,Aleatorio,7,13,GY
GE,21.9211366530569,Aleatorio,7,13,GY
PE,119.59698776214914,Aleatorio,7,13,GY
Residual,60.18437897491597,Aleatorio,11,13,GY
E,1256.4581374361244,Fixo,11,13,GY
W,1.4715335683347004,Aleatorio,11,13,GY
P,133149242.64264932,Aleatorio,11,13,GY
PE,141.73326531027814,Aleatorio,11,13,GY
PW,492.6329255582322,Aleatorio,11,13,GY
Residual,44.845527789898746,Aleatorio,12,13,GY
E,1076.0041125462744,Fixo,12,13,GY
W,1.7526291547524977,Aleatorio,12,13,GY
G,159.05183673906274,Aleatorio,12,13,GY
P,148.02775212428077,Aleatorio,12,13,GY
GE,15.218191699982452,Aleatorio,12,13,GY
PE,72.45978148062994,Aleatorio,12,13,GY
GW,46.424301621706675,Aleatorio,12,13,GY
PW,223.34611095135295,Aleatorio,12,13,GY
Residual,56.540546952577124,Aleatorio,2,14,GY
E,1344.2584076001183,Fixo,2,14,GY
P,135855565.53232628,Aleatorio,2,14,GY
PE,162.3813440572155,Aleatorio,2,14,GY
Residual,45.79794477080094,Aleatorio,7,14,GY
E,1104.3905217123245,Fixo,7,14,GY
G,156.90562006216751,Aleatorio,7,14,GY
P,141810.4729465456,Aleatorio,7,14,GY
GE,21.838973734505636,Aleatorio,7,14,GY
PE,106.20963617082096,Aleatorio,7,14,GY
Residual,56.21906089958439,Aleatorio,11,14,GY
E,1099.5539365363275,Fixo,11,14,GY
W,1.476523187737293,Aleatorio,11,14,GY
P,135811696.5146888,Aleatorio,11,14,GY
PE,126.19202325651058,Aleatorio,11,14,GY
PW,891.1504778767221,Aleatorio,11,14,GY
Residual,44.54090194949483,Aleatorio,12,14,GY
E,1062.5670852440012,Fixo,12,14,GY
W,0.9029820219168075,Aleatorio,12,14,GY
G,159.22278453988875,Aleatorio,12,14,GY
P,165.71619757202774,Aleatorio,12,14,GY
GE,15.407539372377993,Aleatorio,12,14,GY
PE,82.94193898670478,Aleatorio,12,14,GY
GW,46.76658111548518,Aleatorio,12,14,GY
PW,227.7147696708193,Aleatorio,12,14,GY
Residual,56.32288796253071,Aleatorio,2,15,GY
E,1306.4589242776333,Fixo,2,15,GY
P,136249876.62270775,Aleatorio,2,15,GY
PE,179.15330583406532,Aleatorio,2,15,GY
Residual,45.011654175453664,Aleatorio,7,15,GY
E,1132.8895466005115,Fixo,7,15,GY
