Model,Trait,Component,AvgVar,TotalVar,Percentage,ModelID,Type,Description
2,GY,E,1324.280727422838,136193337.36769837,9.72353532865936e-6,2,Basico_Interacao_E,E + P + PE
2,GY,P,136191779.74247444,136193337.36769837,0.9999885631319855,2,Basico_Interacao_E,E + P + PE
2,GY,PE,177.03756834800896,136193337.36769837,1.2998988920437294e-6,2,Basico_Interacao_E,E + P + PE
2,GY,Residual,56.30692815342165,136193337.36769837,4.1343379376483535e-7,2,Basico_Interacao_E,E + P + PE
7,GY,E,1239.4792512656707,118018.87934423007,0.010502381128789024,7,Completo_Interacao_E,E + G + P + GE + PE
7,GY,G,160.02220626763653,118018.87934423007,0.0013559034550810621,7,Completo_Interacao_E,E + G + P + GE + PE
7,GY,GE,21.905780305165045,118018.87934423007,1.856125090060518e-4,7,Completo_Interacao_E,E + G + P + GE + PE
7,GY,P,116441.83756279599,118018.87934423007,0.9866373770857944,7,Completo_Interacao_E,E + G + P + GE + PE
7,GY,PE,109.76784896765267,118018.87934423007,9.300871994173804e-4,7,Completo_Interacao_E,E + G + P + GE + PE
7,GY,Residual,45.86669462795194,118018.87934423007,3.8863862191209963e-4,7,Completo_Interacao_E,E + G + P + GE + PE
11,GY,E,1178.3692728256704,135702801.4075373,8.683455762175743e-6,11,Todas_interacoes,E + W + P + PE + PW
11,GY,P,135700948.67303425,135702801.4075373,0.9999863471167593,11,Todas_interacoes,E + W + P + PE + PW
11,GY,PE,125.9084103111842,135702801.4075373,9.278246948864454e-7,11,Todas_interacoes,E + W + P + PE + PW
11,GY,PW,490.3959842209333,135702801.4075373,3.6137498941395865e-6,11,Todas_interacoes,E + W + P + PE + PW
11,GY,Residual,56.5709309943754,135702801.4075373,4.168737152631345e-7,11,Todas_interacoes,E + W + P + PE + PW
11,GY,W,1.4899047111915582,135702801.4075373,1.0979174311347745e-8,11,Todas_interacoes,E + W + P + PE + PW
12,GY,E,1076.0620481621936,4126.850438682091,0.2607465582168841,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,GY,G,159.15203461532332,4126.850438682091,0.038565011497278416,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,GY,GE,15.322380576066424,4126.850438682091,0.0037128509510414003,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,GY,GW,46.46644256946417,4126.850438682091,0.011259541206999306,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,GY,P,2440.620747132234,4126.850438682091,0.5914003386833776,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,GY,PE,79.34063784801212,4126.850438682091,0.019225469647344316,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,GY,PW,264.16075658683434,4126.850438682091,0.06401025685612052,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,GY,Residual,44.70184090734993,4126.850438682091,0.010831950799173002,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,GY,W,1.023550284613055,4126.850438682091,2.4802214178130613e-4,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
2,KW,E,343.15448374846153,41347717.57919363,8.299236423176561e-6,2,Basico_Interacao_E,E + P + PE
2,KW,P,41347314.759971015,41347717.57919363,0.9999902577640025,2,Basico_Interacao_E,E + P + PE
2,KW,PE,47.15123918389877,41347717.57919363,1.1403589350147224e-6,2,Basico_Interacao_E,E + P + PE
2,KW,Residual,12.51349968234635,41347717.57919363,3.026406393141082e-7,2,Basico_Interacao_E,E + P + PE
7,KW,E,324.6231694782432,405701.15220503684,8.001534324314225e-4,7,Completo_Interacao_E,E + G + P + GE + PE
7,KW,G,66.60245390359746,405701.15220503684,1.6416629221190215e-4,7,Completo_Interacao_E,E + G + P + GE + PE
7,KW,GE,4.7687497243426025,405701.15220503684,1.175434109177124e-5,7,Completo_Interacao_E,E + G + P + GE + PE
7,KW,P,405264.53540963354,405701.15220503684,0.9989237970041982,7,Completo_Interacao_E,E + G + P + GE + PE
7,KW,PE,30.68564611295328,405701.15220503684,7.563608322572645e-5,7,Completo_Interacao_E,E + G + P + GE + PE
7,KW,Residual,9.936776184147899,405701.15220503684,2.4492846840932714e-5,7,Completo_Interacao_E,E + G + P + GE + PE
11,KW,E,298.713038365952,41809513.523372486,7.144618848505962e-6,11,Todas_interacoes,E + W + P + PE + PW
11,KW,P,38190184.684142664,41809513.523372486,0.91343288801467315,11,Todas_interacoes,E + W + P + PE + PW
11,KW,PE,33.85323008051689,41809513.523372486,8.097016020430888e-7,11,Todas_interacoes,E + W + P + PE + PW
11,KW,PW,3618981.1681827116,41809513.523372486,0.08655879638876011,11,Todas_interacoes,E + W + P + PE + PW
11,KW,Residual,14.687585884678754,41809513.523372486,3.512976987036229e-7,11,Todas_interacoes,E + W + P + PE + PW
11,KW,W,0.4171927823753213,41809513.523372486,9.97841752313384e-9,11,Todas_interacoes,E + W + P + PE + PW
12,KW,E,288.11328730917484,220794.00671601456,0.0013048963221168697,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,KW,G,69.01272930718446,220794.00671601456,3.125661349854876e-4,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,KW,GE,3.610879269980593,220794.00671601456,1.6354063788628598e-5,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,KW,GW,11.07039456605893,220794.00671601456,5.013901749741641e-5,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,KW,P,220321.5248396989,220794.00671601456,0.9978600783447742,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,KW,PE,22.07946095898834,220794.00671601456,1.0000027304811295e-4,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,KW,PW,68.48374895360863,220794.00671601456,3.1017032559988133e-4,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,KW,Residual,9.852989865210748,220794.00671601456,4.462525958815392e-5,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
12,KW,W,0.25838608545791625,220794.00671601456,1.1702586012230516e-6,12,Todas_interacoes,E + W + G + P + GE + PE + GW + PW
1,NA,NA,NA,NA,NA,1,Basico_Interacao_E,E + G + GE
3,NA,NA,NA,NA,NA,3,Basico_Interacao_E,E + GGK + GGKE
4,NA,NA,NA,NA,NA,4,Basico_Interacao_E,E + PGK + PGKE
5,NA,NA,NA,NA,NA,5,Basico_Interacao_E,E + GAK + GAKE
6,NA,NA,NA,NA,NA,6,Basico_Interacao_E,E + PAK + PAKE
8,NA,NA,NA,NA,NA,8,Completo_Interacao_E,E + GGK + PGK + GGKE + PGKE
9,NA,NA,NA,NA,NA,9,Completo_Interacao_E,E + GAK + PAK + GAKE + PAKE
10,NA,NA,NA,NA,NA,10,Todas_interacoes,E + W + G + GE + GW
13,NA,NA,NA,NA,NA,13,Todas_interacoes,E + W + GGK + GGKE + GGKW
14,NA,NA,NA,NA,NA,14,Todas_interacoes,E + W + PGK + PGKE + PGKW
15,NA,NA,NA,NA,NA,15,Todas_interacoes,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW
16,NA,NA,NA,NA,NA,16,Todas_interacoes,E + W + GAK + GAKE + GAKW
17,NA,NA,NA,NA,NA,17,Todas_interacoes,E + W + PAK + PAKE + PAKW
18,NA,NA,NA,NA,NA,18,Todas_interacoes,E + W + GAK + PAK + GAKE + PAKE + GAKW + PAKW
