Trait,Component,Models_n,MeanAllocationPct,MinAllocationPct,MaxAllocationPct
GY,E,18,31.06983690,0.00094808,83.59278116
GY,G,4,5.98892051,0.36822231,11.96065307
GY,P,4,98.18432388,95.75441331,99.99888122
GY,W,9,0.03874654,0.00000106,0.10496607
GY,GGK,4,45.61698751,44.47039655,46.94469326
GY,PGK,4,3.81204480,0.69443076,7.54482118
GY,GAK,4,89.76277982,86.14018775,92.59313237
GY,PAK,4,38.61835774,0.40417675,77.06316413
GY,GE,4,0.75752909,0.03416761,1.69992404
GY,PE,4,0.10753249,0.00008864,0.22208700
GY,GW,2,1.82337441,0.10088931,3.54585951
GY,PW,2,0.29926848,0.00041136,0.59812561
GY,GGKE,4,2.51086557,1.70613658,3.43172542
GY,PGKE,4,1.96883474,0.63033447,3.53276784
GY,GGKW,2,5.21830901,4.46730974,5.96930828
GY,PGKW,2,4.15059298,1.33472571,6.96646025
GY,GAKE,4,1.11156734,0.63434336,1.71894745
GY,PAKE,4,0.69177062,0.22457279,1.30079828
GY,GAKW,2,7.01934668,6.78930809,7.24938527
GY,PAKW,2,1.68911747,0.51867052,2.85956443
GY,Residual,18,2.41489680,0.00003554,11.75511172
KW,E,18,24.70789655,0.00076252,75.41808174
KW,G,4,10.63264233,0.00427613,21.72039523
KW,P,4,99.98164183,99.95735054,99.99897777
KW,W,9,0.03364844,0.00000106,0.10668908
KW,GGK,4,63.37386535,61.27920170,65.03767406
KW,PGK,4,5.40618463,0.50727444,11.06725074
KW,GAK,4,95.36428113,94.87336491,95.70914007
KW,PAK,4,43.23089584,0.41863060,86.36787052
KW,GE,4,0.65909292,0.00024145,1.45609793
KW,PE,4,0.00114069,0.00008275,0.00227853
KW,GW,2,1.57984161,0.00076718,3.15891605
KW,PW,2,0.00349868,0.00030020,0.00669717
KW,GGKE,4,1.56081195,1.13036696,2.04107459
KW,PGKE,4,2.06884978,0.43748925,4.04465478
KW,GGKW,2,2.71825579,2.35510927,3.08140230
KW,PGKW,2,4.24522784,0.94461464,7.54584104
KW,GAKE,4,0.56774908,0.43166483,0.75387217
KW,PAKE,4,0.46313766,0.14461530,0.89091173
KW,GAKW,2,1.69340353,0.94176589,2.44504116
KW,PAKW,2,1.24216764,0.38876299,2.09557229
KW,Residual,18,2.15272573,0.00002323,12.38217957
