Model,Trait,Component,AvgVar,MeanDIC,MeanRuntimeSec,TotalVar,Percentage,Model.y,ETA,Category,Description,ComponentLabel
M1,GY,E,1291.6795371461203,6852.322863370754,54.72940969467163,1545.2046447250157,0.8359278116045188,M1,Eta1,Single-source + E,E + G + GE,Environment (E)
M1,GY,G,184.81656675809114,6852.322863370754,54.72940969467163,1545.2046447250157,0.11960653068770775,M1,Eta1,Single-source + E,E + G + GE,Genomic linear (G)
M1,GY,GE,26.267305176304042,6852.322863370754,54.72940969467163,1545.2046447250157,0.016999240369859597,M1,Eta1,Single-source + E,E + G + GE,G × E
M1,GY,Residual,42.441235644500225,6852.322863370754,54.72940969467163,1545.2046447250157,0.027466417337913877,M1,Eta1,Single-source + E,E + G + GE,Residual
M1,KW,E,332.8961044360176,5462.093706363883,80.14872033596039,441.40091708814793,0.7541808173668523,M1,Eta1,Single-source + E,E + G + GE,Environment (E)
M1,KW,G,91.81190958156111,5462.093706363883,80.14872033596039,441.40091708814793,0.20800117541039506,M1,Eta1,Single-source + E,E + G + GE,Genomic linear (G)
M1,KW,GE,6.427229601843292,5462.093706363883,80.14872033596039,441.40091708814793,0.014560979266293123,M1,Eta1,Single-source + E,E + G + GE,G × E
M1,KW,Residual,10.265673468725959,5462.093706363883,80.14872033596039,441.40091708814793,0.02325702795645959,M1,Eta1,Single-source + E,E + G + GE,Residual
M2,GY,E,1332.630337148347,6957.125945380387,55.50893385410309,140560614.01732123,9.480823248140674e-6,M2,Eta2,Single-source + E,E + P + PE,Environment (E)
M2,GY,P,140559041.45934722,6957.125945380387,55.50893385410309,140560614.01732123,0.999988812243138,M2,Eta2,Single-source + E,E + P + PE,Phenomic linear (P)
M2,GY,PE,189.97590969366837,6957.125945380387,55.50893385410309,140560614.01732123,1.3515586213237352e-6,M2,Eta2,Single-source + E,E + P + PE,P × E
M2,GY,Residual,49.95172716001674,6957.125945380387,55.50893385410309,140560614.01732123,3.553749925556046e-7,M2,Eta2,Single-source + E,E + P + PE,Residual
M2,KW,E,339.15645732910076,5278.7497527441565,84.01340749263764,38547834.54348902,8.79832710048784e-6,M2,Eta2,Single-source + E,E + P + PE,Environment (E)
