Model,Trait,Environment (E),Genomic linear (G),G × E,Residual,Phenomic linear (P),P × E,Genomic Gaussian (GGK),GGK × E,Phenomic Gaussian (PGK),PGK × E,Genomic arccosine (GAK),GAK × E,Phenomic arccosine (PAK),PAK × E,G × W,Weather kernel (W),P × W,GGK × W,PGK × W,GAK × W,PAK × W
M1,GY,84.15,11.55,1.64,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1,KW,75.02,21.14,1.48,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2,GY,0,NA,NA,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2,KW,0,NA,NA,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M3,GY,49.26,NA,NA,1.94,NA,NA,45.39,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M3,KW,34.73,NA,NA,1.28,NA,NA,61.92,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,GY,77.91,NA,NA,10.98,NA,NA,NA,NA,7.57,3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,KW,74.03,NA,NA,11.31,NA,NA,NA,NA,10.71,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5,GY,4.93,NA,NA,0.26,NA,NA,NA,NA,NA,NA,93,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5,KW,3.6,NA,NA,0.16,NA,NA,NA,NA,NA,NA,95.51,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6,GY,17.58,NA,NA,3.27,NA,NA,NA,NA,NA,NA,NA,NA,77.66,1.49,NA,NA,NA,NA,NA,NA,NA
M6,KW,10.82,NA,NA,2.12,NA,NA,NA,NA,NA,NA,NA,NA,86.14,0.92,NA,NA,NA,NA,NA,NA,NA
M7,GY,29.79,4.57,0.52,1.08,61.12,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M7,KW,0.02,0,0,0,99.97,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8,GY,49.53,NA,NA,1.84,NA,NA,44.4,2.57,0.87,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8,KW,33.94,NA,NA,1.23,NA,NA,62.22,1.46,0.62,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9,GY,4.9,NA,NA,0.26,NA,NA,NA,NA,NA,NA,92.71,1.27,0.54,0.32,NA,NA,NA,NA,NA,NA,NA
M9,KW,3.42,NA,NA,0.16,NA,NA,NA,NA,NA,NA,95.06,0.55,0.63,0.19,NA,NA,NA,NA,NA,NA,NA
M10,GY,80.64,11.52,1.28,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63,0.1,NA,NA,NA,NA,NA
M10,KW,71.34,21.75,1.19,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14,0.1,NA,NA,NA,NA,NA
M11,GY,0,NA,NA,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
M11,KW,0,NA,NA,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
M12,GY,20.17,3.12,0.27,0.77,67.99,1.61,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.02,5.26,NA,NA,NA,NA
M12,KW,0.02,0.01,0,0,99.96,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.01,NA,NA,NA,NA
M13,GY,43.55,NA,NA,1.96,NA,NA,46.24,2.26,NA,NA,NA,NA,NA,NA,NA,0.06,NA,5.93,NA,NA,NA
M13,KW,32.14,NA,NA,1.27,NA,NA,62.02,1.5,NA,NA,NA,NA,NA,NA,NA,0.05,NA,3.02,NA,NA,NA
M14,GY,72.98,NA,NA,11.45,NA,NA,NA,NA,5.87,2.83,NA,NA,NA,NA,NA,0.09,NA,NA,6.8,NA,NA
M14,KW,67.98,NA,NA,12.07,NA,NA,NA,NA,9.21,3.14,NA,NA,NA,NA,NA,0.09,NA,NA,7.49,NA,NA
M15,GY,42.95,NA,NA,1.92,NA,NA,45.9,1.78,0.72,0.66,NA,NA,NA,NA,NA,0.05,NA,4.64,1.38,NA,NA
M15,KW,28.9,NA,NA,1.28,NA,NA,64.46,1.14,0.51,0.44,NA,NA,NA,NA,NA,0.03,NA,2.29,0.94,NA,NA
M16,GY,3.15,NA,NA,0.23,NA,NA,NA,NA,NA,NA,88.33,0.91,NA,NA,NA,0.01,NA,NA,NA,7.38,NA
M16,KW,2.02,NA,NA,0.16,NA,NA,NA,NA,NA,NA,95.89,0.57,NA,NA,NA,0.01,NA,NA,NA,1.35,NA
M17,GY,15.79,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,77.39,0.96,NA,0.02,NA,NA,NA,NA,2.59
M17,KW,9.56,NA,NA,2.16,NA,NA,NA,NA,NA,NA,NA,NA,85.84,0.63,NA,0.01,NA,NA,NA,NA,1.79
M18,GY,2.74,NA,NA,0.23,NA,NA,NA,NA,NA,NA,88.15,0.6,0.37,0.24,NA,0,NA,NA,NA,7.11,0.55
M18,KW,2.49,NA,NA,0.15,NA,NA,NA,NA,NA,NA,95.18,0.38,0.44,0.14,NA,0,NA,NA,NA,0.82,0.39
